---------------     Set 11     ---------------
1,1,2,3,4,4,5
Aatrox,2,Ghostly,Inkshadow,Bruiser
Ahri,1,Fated,Arcanist
Alune,3,Umbral,Invoker
Amumu,3,Porcelain,Warden
Annie,4,Fortune,Invoker
Aphelios,3,Fated,Sniper
Ashe,4,Porcelain,Sniper
Azir,5,Dryad,Invoker
Bard,3,Mythic,Trickshot
Caitlyn,1,Ghostly,Sniper
Chogath,1,Mythic,Behemoth
Darius,1,Umbral,Duelist
Diana,3,Dragonlord,Sage
Galio,4,Storyweaver,Bruiser
Garen,1,Storyweaver,Warden
Gnar,2,Dryad,Warden
Hwei,5,Mythic,Artist
Illaoi,3,Ghostly,Arcanist,Warden
Irelia,5,Storyweaver,Duelist
Janna,2,Dragonlord,Invoker
Jax,1,Inkshadow,Warden
Kaisa,4,Inkshadow,Trickshot
Kayn,4,Ghostly,Reaper
Khazix,1,Heavenly,Reaper
Kindred,2,Dryad,Fated,Reaper
Kobuku,1,Fortune,Bruiser
KogMaw,1,Mythic,Invoker,Sniper
Lee Sin,4,Dragonlord,Duelist
Lillia,4,Mythic,Invoker
Lissandra,5,Porcelain,Arcanist
Lux,2,Porcelain,Arcanist
Malphite,1,Heavenly,Behemoth
Morgana,4,Ghostly,Sage
Nautilus,4,Mythic,Warden
Neeko,2,Heavenly,Mythic,Arcanist
Ornn,4,Dryad,Behemoth
Qiyana,2,Heavenly,Duelist
Rakan,5,Dragonlord,Lovers,Altruist
RekSai,1,Dryad,Bruiser
Riven,2,Storyweaver,Altruist,Bruiser
Senna,2,Inkshadow,Sniper
Sett,5,Fated,Umbral,Warden
Shen,2,Ghostly,Behemoth
Siver,1,Storyweaver,Trickshot
Soraka,3,Heavenly,Altruist
Sylas,4,Umbral,Bruiser
Syndra,4,Fated,Arcanist
Tahm Kench,3,Mythic,Bruiser
Teemo,2,Fortune,Trickshot
Thresh,3,Fated,Behemoth
Tristana,3,Fortune,Duelist
Udyr,5,Inkshadow,Behemoth,Spirit Walker
Volibear,3,Inkshadow,Duelist
Wukong,5,Heavenly,Great,Sage
Xayah,5,Dragonlord,Lovers,Trickshot
Yasuo,1,Fated,Duelist
Yone,3,Umbral,Reaper
Yorick,2,Umbral,Behemoth
Zoe,3,Fortune,Storyweaver,Arcanist
Zyra,2,Storyweaver,Sage
